name,category,download_url,access,local_path,status,notes
TDC (Therapeutics Data Commons),organic,https://tdcommons.ai/start/,open (pip install PyTDC),data/tdc/,configured,"Programmatic via PyTDC (no key). Prepared subsets written to data/tdc/<Dataset>.csv (id,smiles,y) by `python -m PALM.data.prepare_tdc` (5 sets: Lipophilicity_AstraZeneca, Solubility_AqSolDB, Caco2_Wang, BBB_Martins, LD50_Zhu; 3 registered). Git-ignored (regenerable) — fetched by download_all. NOTE: PyTDC 1.1.15 misreports a corrupt/empty local cache as 'Dataverse under maintenance' (it is an EmptyDataError); if that appears, delete data/tdc/_raw/*.tab and rerun. Loaders: PALM.data.sources.load_tdc."
OMol25,inorganic,https://huggingface.co/facebook/OMol25,gated (HF license; CC-BY-4.0),data/omol25/,configured,"OPT-IN fetch (excluded from the default download_all run; ~28GB gated). `python -m PALM.data.download_all --only omol25` (or `python -m PALM.data.prepare_omol25`) downloads the {train_4M,val,test}.tar.gz tarballs from facebook/OMol25 via huggingface_hub (needs a one-time license accept + `huggingface-cli login`/HF_TOKEN), extracts the 240 *.aselmdb shards, and featurizes them (ase-only, no GPU) into _cache/features.npy (9,553,821 x 115) + meta.parquet — the files load_omol25 reads (subsamples 10k). Idempotent; prints exact steps if the login/license is missing. Raw tarballs + cache git-ignored. Prepare: PALM.data.prepare_omol25; featurizer: PALM.benchmarks.omol25.omol25_featurize_merged. Loader: PALM.data.sources.load_omol25."
Materials Project,inorganic,https://materialsproject.org/api,api_key (MP_API_KEY),data/materials_project/summary.csv,configured,"On-disk snapshot: 100,000 summary rows (material_id, formula_pretty, formation_energy_per_atom, energy_above_hull, band_gap, density, nsites, is_stable, spacegroup) at data/materials_project/summary.csv (~10MB). Featurized by formula -> MAGPIE composition; target = formation_energy_per_atom. Reproducible offline — loader reads the CSV and only falls back to a live mp-api pull (needs MP_API_KEY, `pip install mp-api`) if the CSV is absent. Re-download/refresh: `python PALM/data/download_materials_project.py --n 100000`. Loader: PALM.data.sources.load_materials_project."
QMOF,inorganic,https://figshare.com/articles/dataset/QMOF_Database/13147324 (file 59573735),open,data/qmof/qmof.csv,committed,"Full 20,372-MOF property table qmof.csv (21MB) is COMMITTED to the repo (git-tracked via a .gitignore exception) — a fresh clone has it, no download needed. The figshare source (file 59573735) is a 392MB zip (qmof_database.zip) behind a flaky 202-async endpoint, so it is not auto-fetched by download_all. Featurized by reduced formula -> MAGPIE composition; linker SMILES available for scaffold. Repo: https://github.com/Andrew-S-Rosen/QMOF. Loader: PALM.data.sources.load_qmof."
USPTO (MCR reactions),reaction,https://tdcommons.ai (RetroSyn/USPTO via TDC) + prepared records,open,data/DataSAIL_data/3D+/uspto_mcr/records.csv,configured,"3-reactant multicomponent reactions (rA+rB+rC->product); already prepared. Loaded as an n-D record set via PALM.reactions.load_uspto_mcr; loader subsamples 10k."
OpenPolymer26 (OPoly26),polymer,https://huggingface.co/datasets/colabfit/OPoly26-train (arXiv:2512.23117),open,data/openpolymer26/records.csv,configured,"Open Polymers 2026: 6.57M DFT calcs on polymer clusters. Public colabfit mirror (train = 16 x ~2.45GB parquet shards; the gated facebook/OMol25 copy needs an HF token). prepare_openpolymer26.py STREAMS the first 10k rows (formula,energy) from one train shard (few MB, not the full 40GB) -> records.csv. Featurized by formula -> MAGPIE composition. Loader: PALM.data.sources.load_openpolymer26."
MoleculeNet (proxy organic sets),organic,https://deepchemdata.s3-us-west-1.amazonaws.com/datasets/,open,data/DataSAIL_data/1D/moleculenet/,configured,"Already present (esol/bace/bbbp/... CSVs). Used as always-available organic small-molecule datasets while the TDC host is down. Loader: PALM.data.sources.load_moleculenet."
Genomic Benchmarks (human enhancers),gene,https://huggingface.co/datasets/katarinagresova/Genomic_Benchmarks_human_enhancers_cohn,open,data/genomic/records.csv,prepared_pending_loader,"DNA sequence-classification modality (Gresova et al. 2023). 27,791 seqs, 500bp, binary enhancer label. records.csv (id,sequence,label,split) via `python -m PALM.data.prepare_genomic` (self-fetches from HF). Git-ignored; fetched by download_all. Featurize by nucleotide k-mer. LOADER NOT YET REGISTERED in sources.py."
OC22 (Open Catalyst 2022),inorganic,https://dl.fbaipublicfiles.com/opencatalystproject/data/oc22/is2res_total_train_val_test_lmdbs.tar.gz,open,data/oc22/records.csv,prepared_pending_loader,"Catalysis modality (Tran et al. 2023). IS2RE-total LMDBs (114MB tar; S2EF is 20GB, skipped). 51,294 systems -> composition-level records.csv (id,formula,energy,natoms,nads,split) via `python -m PALM.data.prepare_oc22` (self-downloads; reads pickled PyG Data via a stub, needs torch+lmdb+ase). Featurize formula -> MAGPIE; target=energy. Git-ignored; fetched by download_all. LOADER NOT YET REGISTERED."
LINCS L1000 (omics/perturbation),omics,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70138/suppl/,open,data/lincs_l1000/,prepared_pending_loader,"Perturbation modality: GEO GSE70138 Phase II Level-5 signatures (5GB gz -> 12GB GCTX). 20,000 compound signatures x 978 landmark genes, all with SMILES. Outputs records.csv (id,smiles,pert_iname,cell_id,dose,time) + expression.npy (N x 978, row-aligned) + landmark_genes.txt via `python -m PALM.data.prepare_lincs_l1000` (self-downloads; needs h5py). PRECOMPUTED features (load expression.npy) with a SMILES identifier -> enables expression-space vs structure-space splitting. Git-ignored; fetched by download_all. LOADER NOT YET REGISTERED."
